national_inv,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,ppap_risk,went_on_backorder
5.0,0.0,24.0,40.0,56.0,5.0,19.0,33.0,62.0,no,yes
3.0,0.0,1.0,3.0,5.0,0.0,1.0,5.0,7.0,no,no
64.0,0.0,242.0,442.0,622.0,53.0,172.0,244.0,244.0,no,yes
3.0,0.0,3.0,6.0,8.0,5.0,9.0,14.0,15.0,no,yes
20400.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,no,no
452.0,12.0,0.0,0.0,147.0,50.0,155.0,324.0,471.0,no,no
1.0,0.0,6.0,9.0,12.0,4.0,5.0,12.0,13.0,no,yes
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,no,no
22.0,0.0,12.0,25.0,39.0,7.0,9.0,46.0,50.0,yes,no
1.0,0.0,25.0,25.0,50.0,8.0,18.0,33.0,50.0,no,yes
2.0,0.0,40.0,60.0,80.0,3.0,15.0,22.0,22.0,no,yes
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
22.0,7.0,0.0,0.0,0.0,0.0,2.0,15.0,20.0,no,no
0.0,0.0,39.0,58.0,77.0,8.0,20.0,36.0,63.0,no,yes
3.0,0.0,2.0,8.0,14.0,2.0,3.0,11.0,15.0,no,yes
22.0,0.0,0.0,20.0,30.0,15.0,44.0,71.0,92.0,no,yes
0.0,0.0,288.0,288.0,288.0,2.0,6.0,8.0,12.0,no,yes
0.0,0.0,636.0,636.0,636.0,0.0,0.0,0.0,0.0,no,yes
0.0,0.0,23.0,35.0,36.0,2.0,2.0,2.0,2.0,yes,yes
1361.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,no,no
0.0,0.0,6.0,10.0,12.0,3.0,11.0,15.0,21.0,no,yes
2.0,0.0,3.0,6.0,9.0,0.0,2.0,6.0,8.0,no,yes
0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
4.0,0.0,12.0,36.0,48.0,5.0,17.0,36.0,52.0,no,yes
0.0,0.0,289.0,289.0,289.0,1.0,1.0,2.0,2.0,no,yes
22.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,9.0,no,no
5.0,0.0,6.0,6.0,10.0,7.0,8.0,14.0,20.0,no,yes
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
2.0,0.0,10.0,16.0,22.0,3.0,10.0,20.0,39.0,no,yes
4.0,0.0,5.0,10.0,15.0,6.0,10.0,16.0,20.0,no,yes
1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,no,no
0.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,no,yes
37.0,10.0,42.0,58.0,82.0,7.0,33.0,50.0,79.0,no,no
97.0,35.0,43.0,93.0,135.0,18.0,83.0,165.0,264.0,yes,no
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
9.0,0.0,28.0,46.0,70.0,8.0,28.0,50.0,79.0,no,yes
192.0,0.0,1968.0,3252.0,3612.0,1925.0,4143.0,4268.0,4270.0,no,yes
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
6554.0,0.0,0.0,0.0,30000.0,453.0,1597.0,3498.0,5619.0,no,no
213.0,149.0,252.0,420.0,504.0,65.0,230.0,502.0,860.0,no,no
9.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,no,no
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,4.0,7.0,9.0,1.0,11.0,12.0,13.0,yes,yes
1.0,0.0,4.0,6.0,8.0,2.0,2.0,4.0,4.0,no,yes
1.0,0.0,8.0,14.0,18.0,4.0,9.0,13.0,15.0,no,no
54.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,no,no
1.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,no,no
3.0,0.0,4.0,8.0,12.0,4.0,5.0,10.0,11.0,no,yes
28.0,2.0,2.0,22.0,42.0,3.0,11.0,31.0,58.0,no,no
0.0,0.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,no,yes
8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,no,no
48.0,6.0,184.0,352.0,536.0,64.0,185.0,314.0,437.0,yes,no
0.0,0.0,34.0,52.0,52.0,0.0,0.0,0.0,0.0,no,yes
0.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,no,yes
2069.0,720.0,360.0,360.0,360.0,365.0,935.0,1628.0,2456.0,no,no
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
51.0,23.0,68.0,164.0,236.0,33.0,96.0,148.0,193.0,no,no
1.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,no,yes
6.0,0.0,24.0,24.0,28.0,6.0,8.0,26.0,38.0,no,no
20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
51.0,24.0,160.0,304.0,448.0,103.0,295.0,548.0,607.0,no,yes
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
-2.0,0.0,30.0,40.0,45.0,7.0,15.0,36.0,53.0,no,yes
7.0,0.0,15.0,39.0,39.0,7.0,17.0,46.0,61.0,no,yes
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
1602.0,0.0,2916.0,4536.0,6804.0,739.0,2479.0,4869.0,8351.0,yes,no
3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,no,yes
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
0.0,0.0,33.0,56.0,80.0,6.0,26.0,49.0,64.0,no,yes
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
31.0,0.0,32.0,68.0,104.0,6.0,36.0,74.0,110.0,no,no
1.0,0.0,7.0,10.0,16.0,1.0,5.0,8.0,10.0,no,yes
5.0,0.0,18.0,30.0,42.0,11.0,26.0,48.0,73.0,no,yes
2.0,0.0,108.0,216.0,324.0,42.0,95.0,137.0,183.0,no,yes
2.0,0.0,8.0,12.0,20.0,5.0,10.0,16.0,21.0,no,yes
0.0,0.0,6.0,9.0,12.0,7.0,15.0,20.0,24.0,no,yes
1.0,0.0,18.0,27.0,36.0,14.0,25.0,41.0,48.0,no,yes
26.0,0.0,107.0,171.0,235.0,26.0,80.0,152.0,221.0,no,yes
21.0,54.0,110.0,198.0,294.0,84.0,206.0,331.0,416.0,no,yes
1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,no,yes
2.0,1.0,48.0,48.0,48.0,22.0,48.0,48.0,48.0,no,yes
10.0,12.0,0.0,0.0,0.0,1.0,4.0,9.0,12.0,no,no
0.0,0.0,2080.0,2890.0,3475.0,5.0,766.0,766.0,767.0,no,yes
2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,no,yes
606.0,46.0,1384.0,2104.0,2680.0,361.0,1034.0,2074.0,3467.0,no,no
28.0,0.0,36.0,72.0,108.0,19.0,38.0,71.0,73.0,no,yes
112.0,15.0,400.0,600.0,800.0,156.0,498.0,860.0,1092.0,no,yes
-3.0,0.0,64.0,112.0,160.0,18.0,51.0,107.0,160.0,yes,yes
0.0,0.0,100.0,100.0,200.0,23.0,55.0,105.0,130.0,no,yes
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,3.0,5.0,6.0,1.0,2.0,3.0,3.0,no,yes
0.0,0.0,13.0,18.0,28.0,0.0,0.0,1.0,1.0,yes,yes
1.0,0.0,12.0,18.0,24.0,10.0,14.0,20.0,35.0,no,yes
22.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,no,no
1.0,0.0,12.0,20.0,28.0,6.0,14.0,21.0,32.0,no,yes
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,no,yes
0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,yes,no
1.0,0.0,50.0,77.0,107.0,4.0,17.0,45.0,51.0,no,yes
0.0,0.0,25.0,25.0,25.0,5.0,12.0,19.0,23.0,no,yes
175.0,5.0,415.0,581.0,664.0,41.0,133.0,201.0,517.0,no,no
15.0,1.0,36.0,60.0,100.0,10.0,41.0,73.0,98.0,no,yes
2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,no,no
1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,yes,yes
0.0,0.0,80.0,100.0,120.0,0.0,0.0,0.0,0.0,no,yes
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
0.0,0.0,6.0,8.0,11.0,0.0,2.0,8.0,10.0,no,yes
63.0,41.0,243.0,375.0,501.0,80.0,222.0,411.0,680.0,no,no
39.0,0.0,0.0,0.0,48.0,7.0,30.0,49.0,86.0,no,yes
52.0,4.0,201.0,286.0,286.0,61.0,148.0,387.0,720.0,no,yes
19.0,0.0,17.0,52.0,70.0,0.0,0.0,0.0,0.0,no,yes
-1.0,0.0,8.0,8.0,8.0,1.0,1.0,2.0,2.0,no,yes
2.0,0.0,391.0,391.0,391.0,3.0,16.0,25.0,41.0,no,yes
1.0,0.0,36.0,68.0,104.0,6.0,6.0,6.0,6.0,no,yes
190.0,31.0,18.0,18.0,99.0,44.0,151.0,257.0,379.0,no,no
13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,25.0,42.0,42.0,0.0,0.0,0.0,0.0,yes,yes
9.0,0.0,22.0,22.0,37.0,6.0,16.0,25.0,37.0,no,yes
0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,no,no
11.0,0.0,71.0,102.0,133.0,10.0,36.0,82.0,125.0,no,yes
0.0,0.0,1911.0,3278.0,5071.0,0.0,0.0,0.0,0.0,no,yes
9.0,0.0,52.0,92.0,136.0,20.0,65.0,96.0,156.0,no,yes
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,yes,yes
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
9.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,no,no
0.0,0.0,40.0,60.0,80.0,4.0,17.0,29.0,47.0,no,yes
1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,no,yes
19.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,no,no
16.0,0.0,10.0,20.0,40.0,7.0,14.0,28.0,45.0,no,no
3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,no,yes
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,8.0,8.0,8.0,0.0,2.0,4.0,5.0,no,yes
0.0,0.0,14.0,16.0,16.0,2.0,2.0,2.0,2.0,no,yes
325.0,17.0,216.0,372.0,528.0,58.0,221.0,490.0,757.0,no,no
0.0,0.0,636.0,636.0,636.0,0.0,0.0,0.0,0.0,no,yes
3.0,0.0,36.0,68.0,100.0,10.0,32.0,62.0,84.0,no,no
0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,no,yes
7.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,no,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no,no
0.0,0.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,no,yes
30.0,0.0,299.0,407.0,551.0,142.0,261.0,415.0,531.0,no,yes
0.0,0.0,6.0,9.0,12.0,2.0,5.0,9.0,11.0,no,yes
125.0,0.0,0.0,0.0,0.0,3.0,11.0,32.0,34.0,no,no
5.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,no,yes
78.0,39.0,185.0,350.0,482.0,38.0,135.0,256.0,418.0,no,no
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
5.0,1.0,3.0,7.0,9.0,6.0,10.0,16.0,25.0,no,yes
11.0,30.0,11.0,21.0,31.0,4.0,32.0,34.0,38.0,no,yes
2.0,0.0,96.0,96.0,96.0,32.0,47.0,48.0,48.0,yes,yes
0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,no,yes
32.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,no,no
18.0,0.0,121.0,198.0,262.0,41.0,112.0,217.0,330.0,no,yes
1645.0,0.0,0.0,333.0,888.0,55.0,103.0,909.0,2428.0,no,no
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,no,no
5.0,0.0,0.0,0.0,1.0,2.0,6.0,10.0,14.0,no,yes
8.0,0.0,7.0,14.0,21.0,8.0,13.0,23.0,32.0,no,yes
251.0,0.0,0.0,0.0,0.0,15.0,43.0,76.0,107.0,no,no
24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,no,no
7.0,0.0,5.0,10.0,15.0,4.0,6.0,15.0,21.0,no,yes
97.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,no,no
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,no,yes
13570.0,8050.0,28740.0,46712.0,61692.0,9198.0,28553.0,49036.0,83714.0,yes,no
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,no,no
72.0,0.0,24.0,54.0,96.0,11.0,44.0,100.0,169.0,yes,no
-27.0,0.0,99.0,198.0,198.0,0.0,25.0,85.0,85.0,no,no
68.0,0.0,0.0,0.0,0.0,1.0,7.0,17.0,28.0,no,yes
49.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,yes,no
9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,no,no
5.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,no,no
51.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,7.0,no,no
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
44.0,0.0,0.0,0.0,0.0,500.0,1855.0,2196.0,2561.0,no,yes
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
28.0,4.0,30.0,60.0,90.0,6.0,27.0,57.0,76.0,yes,yes
14.0,0.0,20.0,38.0,56.0,11.0,22.0,37.0,58.0,no,yes
2.0,0.0,154.0,154.0,154.0,1.0,6.0,11.0,20.0,no,no
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
0.0,0.0,16.0,25.0,31.0,5.0,9.0,19.0,31.0,no,yes
4.0,4.0,11.0,11.0,19.0,4.0,10.0,20.0,29.0,no,no
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
294.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,no,no
-1.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,23.0,yes,yes
6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,no,no
107.0,31.0,80.0,140.0,240.0,28.0,94.0,215.0,309.0,no,no
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,no,yes
4.0,0.0,1.0,3.0,5.0,0.0,2.0,4.0,7.0,no,no
15.0,45.0,0.0,45.0,90.0,4.0,26.0,45.0,62.0,no,no
19.0,4.0,78.0,98.0,108.0,31.0,75.0,100.0,150.0,yes,yes
83.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,25.0,no,no
447.0,0.0,935.0,1624.0,1976.0,247.0,807.0,1510.0,2231.0,no,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
0.0,0.0,15.0,17.0,25.0,1.0,10.0,23.0,32.0,no,no
6.0,0.0,0.0,0.0,0.0,8.0,25.0,69.0,93.0,no,yes
0.0,0.0,15.0,25.0,35.0,12.0,25.0,52.0,69.0,no,yes
17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,no,no
9.0,0.0,0.0,0.0,0.0,5.0,12.0,33.0,33.0,no,yes
8.0,0.0,200.0,300.0,400.0,29.0,93.0,206.0,350.0,yes,yes
0.0,0.0,8.0,8.0,8.0,0.0,9.0,10.0,11.0,no,yes
1.0,0.0,24.0,24.0,24.0,1.0,6.0,6.0,6.0,no,yes
0.0,0.0,0.0,0.0,0.0,3.0,12.0,35.0,58.0,yes,yes
318.0,241.0,864.0,1536.0,2336.0,288.0,883.0,1474.0,2088.0,no,no
0.0,0.0,4.0,5.0,7.0,2.0,3.0,4.0,7.0,no,yes
51.0,102.0,528.0,1066.0,1614.0,114.0,393.0,818.0,1262.0,no,no
29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,no,no
47.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,no,no
12.0,0.0,8.0,20.0,32.0,9.0,19.0,33.0,46.0,no,yes
4.0,0.0,89.0,188.0,269.0,16.0,70.0,123.0,186.0,yes,yes
10.0,0.0,80.0,120.0,120.0,14.0,31.0,73.0,126.0,no,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
0.0,0.0,6.0,6.0,6.0,5.0,13.0,31.0,52.0,no,yes
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
638.0,361.0,440.0,710.0,920.0,384.0,590.0,1522.0,1790.0,no,no
4.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,4.0,no,yes
63.0,48.0,96.0,144.0,192.0,29.0,90.0,125.0,204.0,no,no
64.0,5.0,40.0,80.0,130.0,16.0,50.0,91.0,165.0,no,no
0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,no,yes
1.0,0.0,2.0,3.0,3.0,3.0,5.0,14.0,19.0,no,yes
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
69.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes
3.0,0.0,20.0,38.0,65.0,9.0,30.0,51.0,58.0,no,yes
0.0,0.0,10.0,18.0,30.0,4.0,13.0,21.0,29.0,no,yes
0.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,no,yes
3615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
3.0,0.0,1.0,4.0,6.0,0.0,2.0,4.0,7.0,no,yes
9.0,0.0,0.0,4.0,8.0,1.0,5.0,10.0,18.0,no,no
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no,no
165.0,0.0,192.0,288.0,480.0,51.0,147.0,340.0,512.0,no,no
1960.0,311.0,4000.0,6000.0,8000.0,918.0,2986.0,5912.0,8295.0,no,no
22.0,0.0,0.0,50.0,50.0,5.0,13.0,23.0,29.0,no,yes
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,no,yes
2268.0,293.0,3978.0,9018.0,13770.0,1115.0,4102.0,9504.0,15022.0,no,no
0.0,0.0,200.0,300.0,500.0,0.0,0.0,0.0,0.0,no,yes
73.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,no,no
1450.0,74.0,158.0,158.0,158.0,85.0,332.0,496.0,567.0,no,no
8.0,0.0,519.0,701.0,883.0,40.0,249.0,586.0,844.0,no,yes
65.0,42.0,70.0,210.0,378.0,18.0,78.0,133.0,165.0,no,yes
9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,no,no
15.0,51.0,371.0,596.0,878.0,74.0,298.0,572.0,732.0,no,yes
0.0,0.0,23.0,35.0,47.0,3.0,12.0,18.0,21.0,yes,yes
0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,no,yes
688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,no,yes
23.0,2.0,2375.0,3816.0,5476.0,357.0,1805.0,4002.0,5700.0,no,yes
3.0,0.0,3.0,15.0,24.0,1.0,7.0,13.0,16.0,no,yes
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
10.0,0.0,10.0,30.0,45.0,6.0,17.0,32.0,53.0,no,no
549.0,0.0,0.0,0.0,0.0,1.0,8.0,18.0,33.0,no,no
4.0,7.0,7.0,21.0,28.0,1.0,7.0,18.0,28.0,no,yes
170.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,24.0,no,no
18.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,no,no
7.0,50.0,0.0,0.0,50.0,10.0,24.0,33.0,43.0,no,no
1.0,0.0,23.0,32.0,32.0,10.0,17.0,29.0,41.0,no,yes
32.0,0.0,20.0,40.0,80.0,5.0,22.0,37.0,49.0,no,no
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no
13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,no,no
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
-1.0,0.0,21.0,42.0,63.0,6.0,25.0,51.0,63.0,no,yes
0.0,0.0,7.0,12.0,16.0,0.0,0.0,0.0,0.0,no,yes
4.0,0.0,193.0,363.0,468.0,19.0,34.0,34.0,34.0,no,yes
3.0,0.0,61.0,85.0,85.0,11.0,23.0,74.0,136.0,yes,yes
25.0,0.0,0.0,16.0,32.0,3.0,16.0,42.0,62.0,no,no
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
