customerID,tenure,Contract,PaymentMethod,MonthlyCharges,Churn
5564-NEMQO,1,Month-to-month,Bank transfer (automatic),75.3,Yes
9992-RRAMN,22,Month-to-month,Electronic check,85.1,Yes
5550-VFRLC,1,Month-to-month,Electronic check,69.85,Yes
2430-USGXP,24,Month-to-month,Electronic check,101.05,Yes
6394-MFYNG,48,Month-to-month,Bank transfer (automatic),107.4,Yes
7239-HZZCX,1,Month-to-month,Mailed check,19.75,Yes
1689-MRZQR,34,Month-to-month,Electronic check,78.3,Yes
2034-GDRCN,2,Month-to-month,Electronic check,90.4,Yes
4951-UKAAQ,4,Month-to-month,Electronic check,88.95,Yes
2858-MOFSQ,17,One year,Mailed check,55.85,Yes
1196-AMORA,7,Month-to-month,Electronic check,73.6,Yes
1024-GUALD,1,Month-to-month,Electronic check,24.8,Yes
3428-XZMAZ,1,Month-to-month,Electronic check,69.35,Yes
8580-AECUZ,1,Month-to-month,Electronic check,79.1,Yes
3755-JBMNH,16,Month-to-month,Bank transfer (automatic),71.8,Yes
9658-WYUFB,17,Month-to-month,Electronic check,94.4,Yes
6110-OHIHY,3,Month-to-month,Electronic check,79.25,Yes
2840-XANRC,24,Month-to-month,Electronic check,93.15,Yes
1285-OKIPP,1,Month-to-month,Electronic check,79.9,Yes
4415-IJZTP,1,Month-to-month,Electronic check,74.5,Yes
1891-FZYSA,69,Month-to-month,Electronic check,89.95,Yes
3372-KWFBM,16,Month-to-month,Electronic check,86.6,Yes
1579-KLYDT,7,Month-to-month,Electronic check,90.45,Yes
3891-PUQOD,1,Month-to-month,Electronic check,59.2,Yes
7055-VKGDA,54,One year,Credit card (automatic),105.4,Yes
9661-MHUMO,1,Month-to-month,Credit card (automatic),49.25,Yes
8708-XPXHZ,42,Month-to-month,Electronic check,94.2,Yes
8806-EAGWC,3,Month-to-month,Mailed check,55.15,Yes
1322-AGOQM,46,Month-to-month,Bank transfer (automatic),30.3,Yes
6711-FLDFB,7,Month-to-month,Electronic check,74.9,Yes
4039-HEUNW,36,Month-to-month,Electronic check,96.5,Yes
3235-ETOOB,8,Month-to-month,Electronic check,74.5,Yes
1723-HKXJQ,42,Month-to-month,Electronic check,101.75,Yes
4081-DYXAV,19,One year,Credit card (automatic),44.85,Yes
6686-YPGHK,47,Month-to-month,Mailed check,85.5,Yes
2408-TZMJL,59,One year,Electronic check,110.15,Yes
4720-VSTSI,44,Month-to-month,Bank transfer (automatic),84.8,Yes
8414-MYSHR,5,Month-to-month,Electronic check,91.4,Yes
7721-JXEAW,59,Month-to-month,Bank transfer (automatic),41.05,Yes
9947-OTFQU,15,Month-to-month,Electronic check,74.4,Yes
6905-NIQIN,1,Month-to-month,Mailed check,50.65,Yes
5261-QSHQM,4,Month-to-month,Electronic check,24.45,Yes
0564-JJHGS,9,Month-to-month,Electronic check,95.5,Yes
1644-IRKSF,33,One year,Electronic check,93.8,Yes
2898-LSJGD,21,One year,Electronic check,55.95,Yes
1043-YCUTE,56,Two year,Credit card (automatic),25.15,Yes
7089-IVVAZ,8,Month-to-month,Bank transfer (automatic),103.35,Yes
2995-UPRYS,40,One year,Credit card (automatic),99.2,Yes
8840-DQLGN,35,Month-to-month,Bank transfer (automatic),100.5,Yes
7377-DMMRI,2,Month-to-month,Electronic check,47.8,Yes
7783-YKGDV,12,Month-to-month,Bank transfer (automatic),99.7,Yes
3398-ZOUAA,21,Month-to-month,Electronic check,69.1,Yes
4398-HSCJH,3,Month-to-month,Electronic check,63.6,Yes
9415-DPEWS,18,Month-to-month,Electronic check,88.35,Yes
4193-ORFCL,1,Month-to-month,Mailed check,45.1,Yes
3217-FZDMN,8,Month-to-month,Credit card (automatic),94.45,Yes
1087-UDSIH,3,Month-to-month,Mailed check,19.6,Yes
8128-YVJRG,7,Month-to-month,Mailed check,79.65,Yes
4702-IOQDC,1,Month-to-month,Electronic check,70.1,Yes
3192-NQECA,68,Two year,Bank transfer (automatic),110.0,Yes
4897-QSUYC,1,Month-to-month,Mailed check,20.15,Yes
3672-YITQD,36,Month-to-month,Electronic check,84.1,Yes
7675-OZCZG,3,Month-to-month,Electronic check,45.0,Yes
5976-JCJRH,10,Month-to-month,Electronic check,70.3,Yes
3671-SHRSP,4,Month-to-month,Mailed check,80.6,Yes
4800-CZMPC,48,One year,Credit card (automatic),103.25,Yes
9828-AOQLM,1,Month-to-month,Electronic check,45.7,Yes
8375-DKEBR,1,Month-to-month,Electronic check,69.6,Yes
9685-WKZGT,14,Month-to-month,Electronic check,74.95,Yes
2082-CEFLT,1,Month-to-month,Electronic check,45.6,Yes
1320-HTRDR,3,Month-to-month,Electronic check,75.5,Yes
0280-XJGEX,49,Month-to-month,Bank transfer (automatic),103.7,Yes
1750-CSKKM,9,Month-to-month,Electronic check,55.35,Yes
1541-ETJZO,1,Month-to-month,Mailed check,62.05,Yes
1450-GALXR,10,Month-to-month,Electronic check,98.5,Yes
3445-HXXGF,58,Month-to-month,Electronic check,45.3,Yes
0495-RVCBF,1,Month-to-month,Electronic check,79.7,Yes
8010-EZLOU,15,Month-to-month,Electronic check,80.2,Yes
2195-ZRVAX,47,Month-to-month,Electronic check,85.3,Yes
3550-SAHFP,33,Month-to-month,Electronic check,83.35,Yes
6797-LNAQX,70,Two year,Bank transfer (automatic),98.3,Yes
0746-JTRFU,2,Month-to-month,Electronic check,25.05,Yes
9136-ALYBR,1,Month-to-month,Mailed check,24.45,Yes
2114-MGINA,14,Month-to-month,Mailed check,89.8,Yes
5480-HPRRX,3,Month-to-month,Electronic check,25.3,Yes
4895-TMWIR,11,Month-to-month,Mailed check,19.95,Yes
5536-RTPWK,49,Month-to-month,Bank transfer (automatic),99.05,Yes
2207-OBZNX,7,Month-to-month,Mailed check,51.0,Yes
5394-SVGJV,37,Month-to-month,Bank transfer (automatic),98.8,Yes
0655-RBDUG,7,Month-to-month,Bank transfer (automatic),98.05,Yes
6261-RCVNS,42,One year,Credit card (automatic),73.9,Yes
1833-VGRUM,1,Month-to-month,Electronic check,74.2,Yes
6023-YEBUP,3,Month-to-month,Electronic check,100.95,Yes
9689-PTNPG,2,Month-to-month,Electronic check,80.25,Yes
0320-JDNQG,23,Month-to-month,Electronic check,99.85,Yes
0733-VUNUW,24,Month-to-month,Bank transfer (automatic),55.65,Yes
6861-OKBCE,11,Month-to-month,Credit card (automatic),20.1,Yes
4946-EDSEW,11,Month-to-month,Mailed check,19.25,Yes
5922-ABDVO,19,Month-to-month,Mailed check,89.65,Yes
6923-EFPNL,4,Month-to-month,Credit card (automatic),51.75,Yes
8178-EYZUO,46,Month-to-month,Electronic check,93.7,Yes
2485-ITVKB,2,Month-to-month,Electronic check,35.1,Yes
4803-AXVYP,38,Month-to-month,Electronic check,99.55,Yes
6302-JGYRJ,31,One year,Mailed check,79.45,Yes
9787-XVQIU,1,Month-to-month,Electronic check,75.3,Yes
6032-KRXXO,30,Month-to-month,Electronic check,90.25,Yes
6338-AVWCY,3,Month-to-month,Mailed check,40.15,Yes
9907-SWKKF,1,Month-to-month,Mailed check,25.05,Yes
4759-TRPLW,1,Month-to-month,Electronic check,70.4,Yes
0404-SWRVG,3,Month-to-month,Electronic check,74.4,Yes
9381-NDKME,24,Month-to-month,Credit card (automatic),40.65,Yes
5995-OIGLP,12,Month-to-month,Mailed check,56.65,Yes
2955-BJZHG,17,Month-to-month,Electronic check,80.85,Yes
9189-JWSHV,24,Month-to-month,Electronic check,93.55,Yes
3346-BRMIS,18,Month-to-month,Electronic check,48.35,Yes
4765-OXPPD,9,Month-to-month,Mailed check,65.0,Yes
9102-IAYHT,17,Month-to-month,Electronic check,85.45,Yes
5875-YPQFJ,1,Month-to-month,Electronic check,69.9,Yes
6608-QQLVK,1,Month-to-month,Electronic check,50.5,Yes
5687-DKDTV,4,Month-to-month,Mailed check,20.35,Yes
8775-CEBBJ,9,Month-to-month,Bank transfer (automatic),44.2,Yes
7641-EUYET,46,Month-to-month,Electronic check,100.7,Yes
4910-AQFFX,9,Month-to-month,Bank transfer (automatic),79.35,Yes
7957-RYHQD,40,Month-to-month,Credit card (automatic),79.2,Yes
5889-LFOLL,13,Month-to-month,Electronic check,84.6,Yes
3976-BWUCK,30,Month-to-month,Credit card (automatic),94.1,Yes
6653-CBBOM,1,Month-to-month,Electronic check,70.3,Yes
9611-CTWIH,3,Month-to-month,Electronic check,89.45,Yes
2223-KAGMX,15,Month-to-month,Bank transfer (automatic),19.4,Yes
5569-KGJHX,9,Month-to-month,Bank transfer (automatic),85.35,Yes
1925-TIBLE,7,Month-to-month,Electronic check,86.5,Yes
8065-YKXKD,10,Month-to-month,Electronic check,74.75,Yes
0691-IFBQW,46,One year,Electronic check,110.0,Yes
0328-GRPMV,1,Month-to-month,Electronic check,70.1,Yes
3705-PSNGL,45,One year,Electronic check,20.4,Yes
3863-IUBJR,12,One year,Credit card (automatic),53.65,Yes
9412-GHEEC,40,Month-to-month,Bank transfer (automatic),104.8,Yes
6618-RYATB,1,Month-to-month,Mailed check,79.55,Yes
4355-HBJHH,67,Two year,Electronic check,79.7,Yes
0568-ONFPC,5,Month-to-month,Bank transfer (automatic),25.9,Yes
9565-DJPIB,4,Month-to-month,Mailed check,89.6,Yes
4013-UBXWQ,7,Month-to-month,Electronic check,74.65,Yes
4597-NUCQV,24,Month-to-month,Electronic check,101.25,Yes
5692-FPTAH,1,Month-to-month,Mailed check,45.4,Yes
0310-MVLET,61,Month-to-month,Electronic check,99.15,Yes
2058-DCJBE,5,Month-to-month,Electronic check,69.75,Yes
7124-UGSUR,61,One year,Credit card (automatic),104.4,Yes
4471-KXAUH,42,Month-to-month,Electronic check,84.3,Yes
4112-LUEIZ,10,Month-to-month,Electronic check,89.5,Yes
1980-KXVPM,3,Month-to-month,Credit card (automatic),75.05,Yes
7623-TRNQN,1,Month-to-month,Mailed check,49.9,Yes
1122-JWTJW,1,Month-to-month,Mailed check,70.65,Yes
3551-HUAZH,1,Month-to-month,Electronic check,74.4,Yes
7963-GQRMY,3,Month-to-month,Mailed check,44.3,Yes
0611-DFXKO,20,Month-to-month,Mailed check,89.0,Yes
7716-YTYHG,48,One year,Mailed check,82.05,Yes
5502-RLUYV,69,Month-to-month,Electronic check,103.95,Yes
0742-NXBGR,1,Month-to-month,Electronic check,82.3,Yes
3001-CBHLQ,32,Month-to-month,Electronic check,104.9,Yes
4871-JTKJF,1,Month-to-month,Electronic check,69.65,Yes
4412-YLTKF,27,Month-to-month,Electronic check,78.05,Yes
0841-NULXI,1,Month-to-month,Electronic check,35.55,Yes
1899-VXWXM,48,One year,Credit card (automatic),106.1,Yes
1582-RAFML,1,Month-to-month,Mailed check,60.1,Yes
2933-FILNV,2,Month-to-month,Mailed check,24.4,Yes
5536-SLHPM,55,Month-to-month,Electronic check,77.75,Yes
0311-UNPFF,26,Month-to-month,Bank transfer (automatic),88.8,Yes
7817-BOQPW,2,Month-to-month,Electronic check,75.55,Yes
4423-YLHDV,21,Month-to-month,Bank transfer (automatic),104.4,Yes
3049-NDXFL,1,Month-to-month,Mailed check,85.8,Yes
6108-OQZDQ,4,Month-to-month,Electronic check,97.95,Yes
9614-RMGHA,65,Month-to-month,Bank transfer (automatic),91.85,Yes
5130-IEKQT,25,Month-to-month,Mailed check,105.95,Yes
8593-WHYHV,3,Month-to-month,Electronic check,85.3,Yes
9889-TMAHG,8,Month-to-month,Credit card (automatic),100.3,Yes
1731-TVIUK,4,Month-to-month,Electronic check,93.5,Yes
1792-UXAFY,17,Month-to-month,Electronic check,89.15,Yes
3138-BKYAV,6,Month-to-month,Electronic check,85.35,Yes
4710-FDUIZ,56,One year,Credit card (automatic),100.3,Yes
2983-ZANRP,2,Month-to-month,Bank transfer (automatic),73.55,Yes
8372-JUXUI,1,Month-to-month,Electronic check,74.35,Yes
0654-HMSHN,21,Month-to-month,Electronic check,104.4,Yes
2979-SXESE,17,Month-to-month,Electronic check,94.4,Yes
6876-ADESB,1,Month-to-month,Electronic check,48.95,Yes
1038-ZAGBI,12,One year,Bank transfer (automatic),19.8,Yes
9948-YPTDG,38,Month-to-month,Electronic check,79.45,Yes
6712-OAWRH,26,Month-to-month,Electronic check,91.25,Yes
8844-TONUD,13,Month-to-month,Mailed check,96.65,Yes
6240-EURKS,18,Month-to-month,Electronic check,35.0,Yes
0302-JOIVN,8,Month-to-month,Electronic check,101.15,Yes
8752-STIVR,4,Month-to-month,Electronic check,79.0,Yes
5442-XSDCW,11,Month-to-month,Bank transfer (automatic),79.5,Yes
9804-ICWBG,1,Month-to-month,Electronic check,69.9,Yes
1213-NGCUN,6,Month-to-month,Bank transfer (automatic),49.65,Yes
5293-WXJAK,11,Month-to-month,Bank transfer (automatic),104.05,Yes
7274-RTAPZ,1,Month-to-month,Electronic check,90.55,Yes
1309-BXVOQ,21,Month-to-month,Electronic check,106.1,Yes
1465-VINDH,10,Month-to-month,Credit card (automatic),102.1,Yes
6424-ELEYH,3,Month-to-month,Credit card (automatic),74.75,Yes
3097-NQYSN,2,Month-to-month,Mailed check,86.85,Yes
8051-HJRLT,1,Month-to-month,Electronic check,70.55,Yes
2070-FNEXE,7,Month-to-month,Bank transfer (automatic),76.45,Yes
0618-XWMSS,28,Month-to-month,Bank transfer (automatic),74.9,Yes
9033-EOXWV,12,One year,Mailed check,74.05,Yes
3018-TFTSU,12,Month-to-month,Bank transfer (automatic),81.7,Yes
7881-EVUAD,2,Month-to-month,Electronic check,42.6,Yes
8665-UTDHZ,1,Month-to-month,Electronic check,30.2,Yes
2656-FMOKZ,15,Month-to-month,Mailed check,74.45,Yes
4818-QIUFN,20,Month-to-month,Electronic check,79.15,Yes
2845-HSJCY,14,Month-to-month,Electronic check,87.25,Yes
2955-PSXOE,1,Month-to-month,Bank transfer (automatic),20.2,Yes
9600-UDOPK,30,Month-to-month,Credit card (automatic),94.05,Yes
7240-FQLHE,18,Month-to-month,Bank transfer (automatic),99.75,Yes
9172-ANCRX,10,Month-to-month,Electronic check,98.7,Yes
5669-SRAIP,5,Month-to-month,Electronic check,39.5,Yes
9728-FTTVZ,1,Month-to-month,Electronic check,69.2,Yes
9174-FKWZE,1,Month-to-month,Electronic check,19.45,Yes
4283-FUTGF,19,Month-to-month,Electronic check,79.85,Yes
1571-SAVHK,12,Month-to-month,Mailed check,99.95,Yes
5552-ZNFSJ,1,Month-to-month,Electronic check,45.3,Yes
3866-MDTUB,2,Month-to-month,Electronic check,70.75,Yes
0390-DCFDQ,1,Month-to-month,Mailed check,70.45,Yes
3334-CTHOL,1,Month-to-month,Bank transfer (automatic),49.95,Yes
1444-VVSGW,70,One year,Credit card (automatic),115.65,Yes
0193-ESZXP,58,One year,Credit card (automatic),105.5,Yes
0354-WYROK,31,Month-to-month,Electronic check,98.9,Yes
6284-AHOOQ,22,Month-to-month,Bank transfer (automatic),90.5,Yes
7683-CBDKJ,14,Month-to-month,Electronic check,65.45,Yes
8443-ZRDBZ,4,Month-to-month,Electronic check,76.05,Yes
2530-ENDWQ,71,Two year,Bank transfer (automatic),93.7,Yes
4250-ZBWLV,68,One year,Electronic check,108.45,Yes
8260-NGFNY,1,Month-to-month,Mailed check,25.2,Yes
1455-UGQVH,10,Month-to-month,Electronic check,98.5,Yes
6715-OFDBP,5,Month-to-month,Electronic check,70.05,Yes
0623-IIHUG,21,Month-to-month,Electronic check,41.9,Yes
3259-FDWOY,71,Two year,Bank transfer (automatic),106.0,Yes
2108-XWMPY,3,Month-to-month,Mailed check,35.45,Yes
2867-UIMSS,1,Month-to-month,Electronic check,80.5,Yes
8080-DDEMJ,1,Month-to-month,Electronic check,45.1,Yes
3669-LVWZB,5,Month-to-month,Mailed check,51.0,Yes
1771-OADNZ,29,Month-to-month,Electronic check,95.9,Yes
8676-TRMJS,3,Month-to-month,Mailed check,75.0,Yes
9801-GDWGV,39,Month-to-month,Electronic check,103.45,Yes
3585-ISXZP,8,Month-to-month,Bank transfer (automatic),95.65,Yes
4514-GFCFI,16,Month-to-month,Electronic check,84.75,Yes
4614-NUVZD,1,Month-to-month,Electronic check,81.1,Yes
2672-DZUOY,1,Month-to-month,Electronic check,25.15,Yes
2037-XJFUP,33,One year,Electronic check,95.8,Yes
2815-CPTUL,5,Month-to-month,Mailed check,70.25,Yes
7812-FZHPE,17,Month-to-month,Mailed check,24.1,Yes
7845-URHJN,8,Month-to-month,Bank transfer (automatic),20.15,Yes
8083-YTZES,4,Month-to-month,Electronic check,74.35,Yes
